,drug vector,condensed weight
212,"DRG13,DRG16",39.3258426966
213,"DRG13,DRG17",85.9550561798
214,"DRG13,DRG18",52.2471910112
215,"DRG13,DRG19",31.4606741573
216,"DRG13,DRG20",32.0224719101
217,"DRG13,DRG21",32.5842696629
218,"DRG13,DRG22",32.5842696629
219,"DRG13,DRG23",57.3033707865
220,"DRG13,DRG24",31.4606741573
221,"DRG14,DRG15",34.8314606742
222,"DRG14,DRG16",90.4494382022
223,"DRG14,DRG17",26.404494382
224,"DRG14,DRG18",26.9662921348
225,"DRG14,DRG19",9.55056179775
226,"DRG14,DRG20",-6.1797752809
227,"DRG14,DRG21",26.9662921348
228,"DRG14,DRG22",28.0898876404
229,"DRG14,DRG23",89.8876404494
230,"DRG14,DRG24",14.606741573
231,"DRG15,DRG16",59.5505617978
232,"DRG15,DRG17",36.5168539326
233,"DRG15,DRG18",26.9662921348
234,"DRG15,DRG19",-2.24719101124
235,"DRG15,DRG20",-1.68539325843
236,"DRG15,DRG21",-1.12359550562
237,"DRG15,DRG22",-1.12359550562
238,"DRG15,DRG23",39.3258426966
239,"DRG15,DRG24",-2.24719101124
240,"DRG16,DRG17",92.1348314607
241,"DRG16,DRG18",57.3033707865
242,"DRG16,DRG19",38.202247191
243,"DRG16,DRG20",38.7640449438
244,"DRG16,DRG21",39.3258426966
245,"DRG16,DRG22",39.3258426966
246,"DRG16,DRG23",59.5505617978
247,"DRG16,DRG24",38.202247191
248,"DRG17,DRG18",28.0898876404
249,"DRG17,DRG19",10.1123595506
250,"DRG17,DRG20",-5.05617977528
251,"DRG17,DRG21",28.6516853933
252,"DRG17,DRG22",29.7752808989
253,"DRG17,DRG23",91.5730337079
254,"DRG17,DRG24",15.1685393258
255,"DRG18,DRG19",10.6741573034
256,"DRG18,DRG20",-21.9101123596
257,"DRG18,DRG21",11.797752809
258,"DRG18,DRG22",11.797752809
259,"DRG18,DRG23",93.2584269663
260,"DRG18,DRG24",10.6741573034
261,"DRG19,DRG20",-23.0337078652
262,"DRG19,DRG21",-21.3483146067
263,"DRG19,DRG22",-21.3483146067
264,"DRG19,DRG23",39.3258426966
265,"DRG19,DRG24",-22.4719101124
266,"DRG20,DRG21",-21.9101123596
267,"DRG20,DRG22",-21.9101123596
268,"DRG20,DRG23",38.7640449438
269,"DRG20,DRG24",-23.0337078652
270,"DRG21,DRG22",-21.3483146067
271,"DRG21,DRG23",39.3258426966
272,"DRG21,DRG24",-22.4719101124
273,"DRG22,DRG23",39.3258426966
274,"DRG22,DRG24",-22.4719101124
275,"DRG23,DRG24",38.202247191
